Customer ID,Name,Surname,Gender,Birthdate,Transaction Amount,Date,Merchant Name,Category
752858,Sean,Rodriguez,F,20/10/2002,35.47,03/04/2023,Smith-Russell,Cosmetic
26381,Michelle,Phelps,,24/10/1985,2552.72,17/07/2023,"Peck, Spence and Young",Travel
305449,Jacob,Williams,M,25/10/1981,115.97,20/09/2023,Steele Inc,Clothing
988259,Nathan,Snyder,M,26/10/1977,11.31,11/01/2023,"Wilson, Wilson and Russell",Cosmetic
764762,Crystal,Knapp,F,02/11/1951,62.21,13/06/2023,Palmer-Hinton,Electronics
576539,Monica,Bartlett,F,20/10/2001,99.14,24/08/2023,"Tran, Torres and Joyce",Cosmetic
124681,Thomas,Shaw,,26/10/1976,145.94,30/08/2023,"Evans, Griffin and Torres",Cosmetic
521807,Kelsey,Pena,F,28/10/1968,161.39,08/02/2023,Miller PLC,Cosmetic
504238,Denise,Porter,M,31/10/1957,77.73,12/01/2023,Jackson-Morgan,Restaurant
583532,Alexander,Richardson,F,27/10/1974,142.85,07/06/2023,"Blake, Mays and Anderson",Clothing
924841,Kimberly,Ball,M,26/10/1976,928.68,11/02/2023,"Miller, Walker and Bond",Travel
123235,Hunter,Peters,M,28/10/1971,387.78,24/09/2023,"Barker, Ortiz and Cox",Market
840546,Julie,Russell,M,28/10/1968,142.07,07/08/2023,Taylor-Morrow,Cosmetic
516709,Christopher,Harris,M,19/10/2004,107.44,22/04/2023,Gonzalez-Hunter,Cosmetic
683760,Amber,Brown,M,19/10/2004,54.31,10/04/2023,Underwood-Contreras,Cosmetic
777948,Amy,Pierce,F,29/10/1966,79.57,05/01/2023,Rodriguez Ltd,Restaurant
440706,Elizabeth,Barnes,F,31/10/1957,441.18,28/02/2023,Wilson-Zavala,Market
793150,Chad,Reese,,30/10/1962,475.82,22/04/2023,Hughes Inc,Market
27213,Michelle,Holden,M,02/11/1949,106.26,20/05/2023,Morris-Foster,Cosmetic
401993,Steven,Smith,M,21/10/1999,1468.14,14/05/2023,"Thompson, Lopez and Mason",Travel
103920,Patrick,Price,M,26/10/1977,40.08,28/05/2023,"Barber, Williamson and Norman",Clothing
943548,Daniel,Pitts,,22/10/1995,39.87,01/06/2023,Shaw-Elliott,Clothing
178351,Robert,Rice,F,22/10/1993,151.73,29/06/2023,Solis-Washington,Clothing
615357,Sara,Michael,M,22/10/1993,17.05,17/04/2023,Wright Inc,Restaurant
111696,Anthony,Miller,,23/10/1991,108.3,14/06/2023,"Nguyen, Patel and Dudley",Cosmetic
6905,Jessica,White,M,25/10/1981,366.56,01/02/2023,"Berry, Reeves and Best",Market
291542,Kimberly,Ross,M,31/10/1959,924.23,18/03/2023,"Pacheco, Sullivan and Jones",Electronics
517389,Brian,Jones,F,31/10/1956,781.85,30/03/2023,Dorsey Inc,Travel
744599,William,Contreras,F,20/10/2003,1479.49,15/04/2023,"Fuller, Jones and White",Travel
726547,Adam,Hansen,,29/10/1966,94.69,13/09/2023,Johnson-Campbell,Cosmetic
485562,Betty,Atkinson,F,22/10/1994,58.97,21/09/2023,"Freeman, Bush and Zuniga",Cosmetic
28347,Pamela,Nguyen,M,26/10/1978,148.26,06/06/2023,Schwartz-Stephens,Cosmetic
899551,Sarah,Warner,F,30/10/1961,157.6,20/07/2023,Cook-Williams,Clothing
485255,Amy,Mercer,F,28/10/1970,2071.69,20/09/2023,"Peck, Horn and Stanley",Travel
668341,Manuel,Robinson,M,30/10/1961,251.83,21/06/2023,Gonzalez-Castro,Market
355400,Aaron,Martinez,F,26/10/1978,631.18,10/09/2023,Padilla-Greene,Travel
796123,Darlene,Tucker,M,01/11/1953,1745.4,05/03/2023,Manning Inc,Travel
343329,Hannah,Maynard,M,25/10/1980,487.43,14/01/2023,"Gilbert, Hernandez and Wilson",Electronics
409886,Benjamin,Rice,M,20/10/2000,64.39,18/05/2023,Lynch Inc,Clothing
11697,Jason,Johnson,F,20/10/2001,2423.86,02/09/2023,King-Wright,Travel
13908,Scott,Harrison,F,20/10/2003,98.4,17/09/2023,"White, Bernard and Adkins",Cosmetic
373595,Emily,Mcdaniel,F,24/10/1987,84.46,17/05/2023,Mason PLC,Restaurant
599093,Thomas,Salas,,31/10/1956,57.83,06/08/2023,Jimenez Inc,Electronics
370834,Katherine,Howard,F,21/10/1997,856.38,26/07/2023,Hamilton and Sons,Electronics
261654,Kevin,Harris,,26/10/1977,147.43,11/06/2023,Thomas LLC,Cosmetic
